date,store_id,product_id,sales,promotion
2024-01-01,4,105,385,0
2024-01-02,5,103,144,0
2024-01-03,3,102,423,0
2024-01-04,5,106,449,1
2024-01-05,5,107,57,0
2024-01-06,2,103,437,0
2024-01-07,3,101,409,0
2024-01-08,3,109,437,1
2024-01-09,3,102,233,0
2024-01-10,5,100,330,0
2024-01-11,4,107,244,1
2024-01-12,3,102,401,1
2024-01-13,5,109,244,0
2024-01-14,2,106,204,0
2024-01-15,4,109,142,1
2024-01-16,2,104,209,0
2024-01-17,4,109,483,0
2024-01-18,5,104,110,0
2024-01-19,1,106,171,0
2024-01-20,4,108,100,1
2024-01-21,2,104,452,1
2024-01-22,5,100,326,0
2024-01-23,4,109,54,0
2024-01-24,1,109,141,0
2024-01-25,1,100,219,0
2024-01-26,3,101,366,1
2024-01-27,3,105,71,0
2024-01-28,2,108,454,0
2024-01-29,4,107,375,0
2024-01-30,4,104,50,0
2024-01-31,3,100,182,0
2024-02-01,4,106,282,1
2024-02-02,4,104,61,0
2024-02-03,1,105,395,1
2024-02-04,3,106,95,0
2024-02-05,5,102,83,0
2024-02-06,3,109,482,0
2024-02-07,5,102,127,1
2024-02-08,1,104,267,1
2024-02-09,2,105,350,0
2024-02-10,4,108,460,0
2024-02-11,1,104,122,1
2024-02-12,4,100,331,0
2024-02-13,2,103,298,0
2024-02-14,2,104,96,1
2024-02-15,1,109,170,0
2024-02-16,2,109,263,0
2024-02-17,5,104,288,0
2024-02-18,2,106,105,0
2024-02-19,4,103,399,0
2024-02-20,4,100,156,1
2024-02-21,4,104,368,0
2024-02-22,4,106,97,0
2024-02-23,5,109,110,0
2024-02-24,3,109,386,0
2024-02-25,1,105,75,1
2024-02-26,4,104,341,0
2024-02-27,2,103,306,0
2024-02-28,4,101,57,1
2024-02-29,2,103,162,0
2024-03-01,2,109,404,0
2024-03-02,4,109,302,0
2024-03-03,5,102,229,0
2024-03-04,2,109,256,0
2024-03-05,2,100,352,0
2024-03-06,4,107,176,1
2024-03-07,2,104,105,0
2024-03-08,2,103,263,0
2024-03-09,4,107,63,0
2024-03-10,4,106,77,0
2024-03-11,1,101,127,1
2024-03-12,5,100,265,0
2024-03-13,5,103,435,0
2024-03-14,2,107,414,1
2024-03-15,5,101,203,0
